target_url,title,status_code,crawl_depth,exported_total_inlinks,exported_unique_inlinks,reported_total_inlinks,reported_unique_inlinks,inlinks_file
"https://edhfilmgroup.com/","Trusted Window Tinting Services | EDH Film Group Official","200","0","1783","415","1783","415","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com.csv"
"https://edhfilmgroup.com/?page_id=254","","404","1","410","410","410","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_page_id_254.csv"
"https://edhfilmgroup.com/about-edh/","About EDH Film Group in Chicago, Illinois & Surrounding Areas","200","1","1656","410","1656","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_about_edh.csv"
"https://edhfilmgroup.com/blog/","Blog - EDH Film Group","200","1","1244","410","1244","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_blog.csv"
"https://edhfilmgroup.com/commercial-decorative-window-film/","Commercial Decorative Window Film & Colored Tint | EDH Film Group","200","1","448","410","448","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_commercial_decorative_window_film.csv"
"https://edhfilmgroup.com/commercial-di-noc-film/","Commercial Di-Noc Film in Chicago, Illinois & Surrounding Areas","200","1","433","410","433","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_commercial_di_noc_film.csv"
"https://edhfilmgroup.com/commercial-market/","Commercial Window Film Solutions for Commercial Building Performance","200","1","434","410","434","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_commercial_market.csv"
"https://edhfilmgroup.com/commercial-security-film/","Best Commercial Security Window Film | EDH Film Group","200","1","447","410","447","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_commercial_security_film.csv"
"https://edhfilmgroup.com/commercial-solar-films/","Commercial Solar Film Solutions | EDH Film Group","200","1","457","410","457","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_commercial_solar_films.csv"
"https://edhfilmgroup.com/commercial-window-tinting/","Commercial Window Tinting for Businesses | EDH Film Group","200","1","457","410","457","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_commercial_window_tinting.csv"
"https://edhfilmgroup.com/contact-old/","Contact EDH Film Group Today for Your Window Film Services","200","1","423","410","423","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_contact_old.csv"
"https://edhfilmgroup.com/contact/","Contact EDH Film Group Today for Your Window Film Services","200","1","2696","410","2696","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_contact.csv"
"https://edhfilmgroup.com/decorative-home-window-film/","Decorative Home Window Film | EDH Film Group","200","1","447","410","447","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_decorative_home_window_film.csv"
"https://edhfilmgroup.com/home-security-window-film/","Home Security Window Film Installation | EDH Film Group","200","1","452","410","452","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_home_security_window_film.csv"
"https://edhfilmgroup.com/home-solar-film/","Solar Film for Home Windows to Block Sun | EDH Film Group","200","1","463","410","463","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_home_solar_film.csv"
"https://edhfilmgroup.com/locations/","EDH Film Group Locations - Find Window Tinting Services","200","1","1314","410","1314","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations.csv"
"https://edhfilmgroup.com/locations/missouri/window-tinting-st-louis/","Commercial Window Film in St. Louis","200","1","427","410","427","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_missouri_window_tinting_st_louis.csv"
"https://edhfilmgroup.com/locations/oklahoma/window-tinting-oklahoma-city/","Commercial Window Film in Oklahoma","200","1","835","410","835","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_oklahoma_window_tinting_oklahoma_city.csv"
"https://edhfilmgroup.com/locations/oklahoma/window-tinting-tulsa/","Commercial Window Film in Tulsa","200","1","838","410","838","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_oklahoma_window_tinting_tulsa.csv"
"https://edhfilmgroup.com/locations/texas/window-tinting-dallas/","Commercial Window Film Installation in Dallas, TX","200","1","840","410","840","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_texas_window_tinting_dallas.csv"
"https://edhfilmgroup.com/locations/texas/window-tinting-fort-worth/","Commercial Window Film in Fort Worth","200","1","835","410","835","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_texas_window_tinting_fort_worth.csv"
"https://edhfilmgroup.com/locations/window-tinting-des-moines/","Commercial Window Film in Des Moines, IA","200","1","837","410","837","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_window_tinting_des_moines.csv"
"https://edhfilmgroup.com/locations/window-tinting-houston/","Commercial Window Film in Houston","200","1","836","410","836","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_locations_window_tinting_houston.csv"
"https://edhfilmgroup.com/products/architectural-resurfacing-film/","Architectural Resurfacing Film","200","1","839","410","839","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_products_architectural_resurfacing_film.csv"
"https://edhfilmgroup.com/products/bird-safety-film/","Bird Safety Film Window Film","200","1","845","410","845","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_products_bird_safety_film.csv"
"https://edhfilmgroup.com/products/custom-graphics-window-film/","Custom Graphics Window Film","200","1","841","410","841","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_products_custom_graphics_window_film.csv"
"https://edhfilmgroup.com/products/decorative-window-film/","Decorative Window Film","200","1","852","410","852","410","C:\Users\nefre\OneDrive\Desktop\ai_projects\skills\screaming-frog\output\edhfilmgroup.com-sitewide\inlinks\edhfilmgroup_com_products_decorative_window_film.csv"
