source_url,target_url,anchor_text,alt_text,nofollow,path_type
"https://edhfilmgroup.com/sitemap/","https://edhfilmgroup.com/stained-glass-window-film/","Stained Glass Window Film","","false","2"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Oklahoma","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Texas","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Iowa","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Products","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Missouri","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Oklahoma","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Texas","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Iowa","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","Products","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","","","false","3"
"https://edhfilmgroup.com/stained-glass-window-film/","https://edhfilmgroup.com/stained-glass-window-film/","","","false","3"
