section,url_count,total_exported_unique_inlinks,total_exported_inlinks,total_outlinks_from_section,top_pages
"services","10","2989","6098","568","https://michgc.com/services/ (332); https://michgc.com/services/bird-film/ (332); https://michgc.com/services/custom-graphics/ (332); https://michgc.com/services/decorative-window-film/ (332); https://michgc.com/services/di-noc-resourfacing/ (332)"
"home","2","682","1389","73","https://michgc.com/ (350); http://michgc.com/ (332)"
"blog","19","404","857","1374","https://michgc.com/blog/ (332); https://michgc.com/blog/page/19/ (19); https://michgc.com/blog/page/17/ (4); https://michgc.com/blog/page/3/ (4); https://michgc.com/blog/page/10/ (3)"
"html-sitemap","11","386","387","63","https://michgc.com/html-sitemap/ (332); https://michgc.com/html-sitemap/robots.txt (9); https://michgc.com/html-sitemap/sitemap.xml (9); https://michgc.com/html-sitemap/?C=D;O=A (8); https://michgc.com/html-sitemap/?C=M;O=A (8)"
"us-old","11","386","387","63","https://michgc.com/us-old/ (332); https://michgc.com/us-old/robots.txt (9); https://michgc.com/us-old/sitemap.xml (9); https://michgc.com/us-old/?C=D;O=A (8); https://michgc.com/us-old/?C=M;O=A (8)"
"contact-us","2","348","742","56","https://michgc.com/contact-us/ (332); http://michgc.com/contact-us/ (16)"
"locations","3","337","699","209","https://michgc.com/locations/ (332); https://michgc.com/locations/detroit/ (3); https://michgc.com/locations/grand-rapids/ (2)"
"school-protection","2","335","671","55","https://michgc.com/school-protection/ (332); http://michgc.com/school-protection/ (3)"
"commercial","3","334","682","74","https://michgc.com/commercial/ (332); http://michgc.com/commercial/ (1); https://michgc.com/commercial/com/services/di-noc-resourfacing/ (1)"
"residential","2","333","675","64","https://michgc.com/residential/ (332); http://michgc.com/residential/ (1)"
"about-us","1","332","668","58","https://michgc.com/about-us/ (332)"
"c-bond-systems-glass-solution","1","332","668","55","https://michgc.com/c-bond-systems-glass-solution/ (332)"
"contact-us-old","1","332","337","55","https://michgc.com/contact-us-old/ (332)"
"frequently-asked-questions","1","332","337","56","https://michgc.com/frequently-asked-questions/ (332)"
"image-gallery","1","332","1024","78","https://michgc.com/image-gallery/ (332)"
"product-videos","1","332","668","55","https://michgc.com/product-videos/ (332)"
"sustainable-design","1","332","668","55","https://michgc.com/sustainable-design/ (332)"
"warranty-information","1","332","669","55","https://michgc.com/warranty-information/ (332)"
"portfolio","18","125","193","1015","https://michgc.com/portfolio/southfield-3m-decorative-glass-film/ (13); https://michgc.com/portfolio/custom-graphic-annarbor-michigan/ (11); https://michgc.com/portfolio/ann-arbor-michigan-window-film-upgrade/ (9); https://michgc.com/portfolio/custom-decorative-film/ (9); https://michgc.com/portfolio/decorative-glass-film/ (9)"
"portfolio-tag","44","105","237","2481","https://michgc.com/portfolio-tag/decorative-glass/ (6); https://michgc.com/portfolio-tag/improve-decor/ (4); https://michgc.com/portfolio-tag/add-privacy/ (3); https://michgc.com/portfolio-tag/conference-room-privacy/ (3); https://michgc.com/portfolio-tag/create-visual-break/ (3)"
